,five_min_apgar,cigs_first_trimester_recode,0
0,00,0,1507
1,00,1,57
2,00,2,71
3,00,3,48
4,00,4,2
5,00,5,1
6,00,6,49
7,01,0,7424
8,01,1,263
9,01,2,312
10,01,3,170
11,01,4,17
12,01,5,8
13,01,6,140
14,02,0,5542
15,02,1,212
16,02,2,217
17,02,3,125
18,02,4,11
19,02,5,4
20,02,6,71
21,03,0,6038
22,03,1,203
23,03,2,268
24,03,3,146
25,03,4,6
26,03,5,4
27,03,6,65
28,04,0,8138
29,04,1,331
30,04,2,330
31,04,3,229
32,04,4,25
33,04,5,6
34,04,6,80
35,05,0,13979
36,05,1,502
37,05,2,581
38,05,3,386
39,05,4,51
40,05,5,8
41,05,6,131
42,06,0,26615
43,06,1,962
44,06,2,1101
45,06,3,712
46,06,4,73
47,06,5,11
48,06,6,223
49,07,0,66266
50,07,1,2208
51,07,2,2553
52,07,3,1704
53,07,4,163
54,07,5,36
55,07,6,464
56,08,0,355373
57,08,1,10336
58,08,2,12539
59,08,3,8327
60,08,4,697
61,08,5,174
62,08,6,2084
63,09,0,3002514
64,09,1,67677
65,09,2,80613
66,09,3,49951
67,09,4,4367
68,09,5,1056
69,09,6,14461
70,10,0,80988
71,10,1,2200
72,10,2,3021
73,10,3,1824
74,10,4,173
75,10,5,25
76,10,6,769
77,99,0,12757
78,99,1,405
79,99,2,550
80,99,3,404
81,99,4,46
82,99,5,16
83,99,6,558
